,turnover
2023-03-20,0.0000
2023-03-27,0.3000
2023-04-03,0.1818
2023-04-10,0.0000
2023-04-17,0.0000
2023-04-24,0.0000
2023-05-02,0.1919
2023-05-08,0.0000
2023-05-15,0.1420
2023-05-22,0.0390
2023-05-29,0.0000
2023-06-05,0.0000
2023-06-12,0.0000
2023-06-19,0.0000
2023-06-26,0.0000
2023-07-03,0.0000
2023-07-10,0.0000
2023-07-17,0.0000
2023-07-24,0.0000
2023-07-31,0.0000
2023-08-07,0.0130
2023-08-14,0.0260
2023-08-21,0.0263
2023-08-28,0.0000
2023-09-04,0.0000
2023-09-11,0.0000
2023-09-18,0.0000
2023-09-25,0.0000
2023-10-02,0.0000
2023-10-09,0.0000
2023-10-16,0.0000
2023-10-23,0.0000
2023-10-30,0.0000
2023-11-06,0.0133
2023-11-13,0.1483
2023-11-20,0.0726
2023-11-27,0.0000
2023-12-04,0.0000
2023-12-11,0.0000
2023-12-18,0.0000
2023-12-26,0.0000
2024-01-02,0.0000
2024-01-08,0.0000
2024-01-15,0.0000
2024-01-22,0.0000
2024-01-29,0.0000
2024-02-05,0.0000
2024-02-14,0.0241
2024-02-19,0.0000
2024-02-26,0.0120
2024-03-04,0.0241
2024-03-11,0.0238
2024-03-18,0.0352
2024-03-25,0.0118
