,turnover
2023-03-20,0.0000
2023-03-27,0.3574
2023-04-03,0.7738
2023-04-10,0.2686
2023-04-17,0.2349
2023-04-24,0.1861
2023-05-02,0.7581
2023-05-08,0.2283
2023-05-15,0.4399
2023-05-22,0.6247
2023-05-29,0.0778
2023-06-05,0.1367
2023-06-12,0.6465
2023-06-19,0.0391
2023-06-26,0.0486
2023-07-03,0.0643
2023-07-10,0.0476
2023-07-17,0.1107
2023-07-24,0.0460
2023-07-31,0.0370
2023-08-07,0.0962
2023-08-14,0.0871
2023-08-21,0.1540
2023-08-28,0.0437
2023-09-04,0.0255
2023-09-11,0.0893
2023-09-18,0.0893
2023-09-25,0.0281
2023-10-02,0.0786
2023-10-09,0.0637
2023-10-16,0.0472
2023-10-23,0.1064
2023-10-30,0.0996
2023-11-06,0.0975
2023-11-13,0.0806
2023-11-20,0.0371
2023-11-27,0.0608
2023-12-04,0.0890
2023-12-11,0.0633
2023-12-18,0.1268
2023-12-26,0.0971
2024-01-02,0.0193
2024-01-08,0.1799
2024-01-15,0.1398
2024-01-22,0.1394
2024-01-29,0.1193
2024-02-05,0.0923
2024-02-14,0.0581
2024-02-19,0.0720
2024-02-26,0.0914
2024-03-04,0.0819
2024-03-11,0.1043
2024-03-18,0.1095
2024-03-25,0.0523
