,turnover
2023-03-20,0.0000
2023-03-27,0.3840
2023-04-03,0.6219
2023-04-10,0.2643
2023-04-17,0.2235
2023-04-24,0.1168
2023-05-02,0.4783
2023-05-08,0.4294
2023-05-15,0.7101
2023-05-22,0.6242
2023-05-29,0.0830
2023-06-05,0.1416
2023-06-12,0.6468
2023-06-19,0.0392
2023-06-26,0.0473
2023-07-03,0.0658
2023-07-10,0.0487
2023-07-17,0.1095
2023-07-24,0.0459
2023-07-31,0.0372
2023-08-07,0.0978
2023-08-14,0.0878
2023-08-21,0.1124
2023-08-28,0.0423
2023-09-04,0.0262
2023-09-11,0.0887
2023-09-18,0.0919
2023-09-25,0.0305
2023-10-02,0.0670
2023-10-09,0.0549
2023-10-16,0.0423
2023-10-23,0.0976
2023-10-30,0.0990
2023-11-06,0.1262
2023-11-13,0.0828
2023-11-20,0.0349
2023-11-27,0.0747
2023-12-04,0.0863
2023-12-11,0.0533
2023-12-18,0.1472
2023-12-26,0.0945
2024-01-02,0.0266
2024-01-08,0.1792
2024-01-15,0.1455
2024-01-22,0.1378
2024-01-29,0.1232
2024-02-05,0.1020
2024-02-14,0.0677
2024-02-19,0.0708
2024-02-26,0.0946
2024-03-04,0.0638
2024-03-11,0.1127
2024-03-18,0.1740
2024-03-25,0.0588
