,turnover
2023-03-20,0.0000
2023-03-27,0.1927
2023-04-03,0.0932
2023-04-10,0.0211
2023-04-17,0.0287
2023-04-24,0.0210
2023-05-02,0.2019
2023-05-08,0.0359
2023-05-15,0.4297
2023-05-22,0.0431
2023-05-29,0.0211
2023-06-05,0.0192
2023-06-12,0.0546
2023-06-19,0.0246
2023-06-26,0.0234
2023-07-03,0.0217
2023-07-10,0.0155
2023-07-17,0.0229
2023-07-24,0.0176
2023-07-31,0.0210
2023-08-07,0.0372
2023-08-14,0.1004
2023-08-21,0.0513
2023-08-28,0.0179
2023-09-04,0.0233
2023-09-11,0.0223
2023-09-18,0.0171
2023-09-25,0.0199
2023-10-02,0.0111
2023-10-09,0.0204
2023-10-16,0.0226
2023-10-23,0.0149
2023-10-30,0.0209
2023-11-06,0.0318
2023-11-13,0.1902
2023-11-20,0.0751
2023-11-27,0.0188
2023-12-04,0.0207
2023-12-11,0.0119
2023-12-18,0.0174
2023-12-26,0.0191
2024-01-02,0.0103
2024-01-08,0.0143
2024-01-15,0.0255
2024-01-22,0.0173
2024-01-29,0.0293
2024-02-05,0.0179
2024-02-14,0.0377
2024-02-19,0.0196
2024-02-26,0.0264
2024-03-04,0.0279
2024-03-11,0.0520
2024-03-18,0.0398
2024-03-25,0.0180
